,Twitter Handle,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago,Tweet Datetime,Tweet Text
109,@CNN,0.1779,0.045,0.955,0.0,10,2018-10-04 04:31:05+00:00,"Toys ""R"" Us may be coming back.

The company closed all of its US stores in June as part of a bankruptcy liquidation. But the owners of the company's remaining assets are looking into restarting the business. https://t.co/0D5buAsrz5"
110,@CNN,-0.4124,0.054,0.847,0.099,11,2018-10-04 04:16:00+00:00,"Are standing desks really good for you? Proponents claim that eliminating sitting from your work life can make you healthier, but the science behind the standing desk might not stand up to criticism. https://t.co/hPBKkHPULZ https://t.co/fUvAQtA1YL"
111,@CNN,-0.7845,0.06,0.719,0.222,12,2018-10-04 04:15:36+00:00,"US Vice President Mike Pence is set to ramp up Washington's criticism of Beijing in a speech on Thursday, accusing China of ""reckless harassment"" of US military forces in the South China Sea, and vowing to improve relations with Taiwan https://t.co/e8ym4EAA9S"
112,@CNN,0.5106,0.096,0.904,0.0,13,2018-10-04 04:01:02+00:00,"Which world leader do people trust most? Here are findings from a new global survey by the Pew Research Center.

Angela Merkel - 52%
Xi Jinping - 34%
Vladimir Putin - 30%
Donald Trump - 27%

https://t.co/16Osstso1d"
113,@CNN,0.7964,0.336,0.664,0.0,14,2018-10-04 03:46:07+00:00,The world's best bar for 2018 is... about to close for good https://t.co/nTs5iMszDC via @CNNTravel https://t.co/9JBpKGdBvG
114,@CNN,0.0,0.0,1.0,0.0,15,2018-10-04 03:31:24+00:00,"RT @CuomoPrimeTime: .@chriscuomo: This is it. They will vote. Will the FBI report change votes? Unlikely.

Why? This has never been a truth…"
115,@CNN,0.0,0.0,1.0,0.0,16,2018-10-04 03:31:13+00:00,"RT @AC360: ""I saw him do the stuff that he said under oath that he didn't do. I saw him use words in a different way than he said under oat…"
116,@CNN,0.3167,0.119,0.881,0.0,17,2018-10-04 03:31:05+00:00,This private museum in Taiwan is home to the world's biggest and most comprehensive violin collection https://t.co/JjcPrg7wX9 https://t.co/bWKBVyuTqt
117,@CNN,-0.6369,0.0,0.833,0.167,18,2018-10-04 03:21:42+00:00,"Seven law enforcement officers were shot, one fatally, during a standoff Wednesday in Florence, South Carolina, city police Chief Allen Heidler said https://t.co/8OFfN9yDDZ"
118,@CNN,0.6124,0.208,0.792,0.0,19,2018-10-04 03:17:05+00:00,RT @cnnbrk: Australia's busiest airport was on high alert Thursday after a United Airlines flight from Los Angeles issued a mayday call due…
119,@CNN,-0.2732,0.11,0.735,0.155,20,2018-10-04 03:16:07+00:00,Residents in this Kentucky city are hanging dozens of bed sheet banners to support survivors of sexual assault https://t.co/O6EsTXcL9v https://t.co/mhXL5pMq5a
